fitted_incoming_vx,fitted_incoming_vy,fitted_outgoing_vx,fitted_outgoing_vy,ball_x_distance,incoming_angle,outgoing_angle
-4.535646065162982,4.459967590670826,-0.7164020879997806,-3.7612570113792168,8.26,46.68,77.83
-4.797224038100033,4.779557418900511,-0.6761189291958828,-3.517270274052112,-1.0,-1.0,-1.0
-4.851248893654126,4.9086979526132914,-0.6389003305175802,-3.2922646764821115,-1.0,-1.0,-1.0
-4.710082251316449,4.83819552705671,-0.6046844303500685,-3.085644556797508,-1.0,-1.0,-1.0
-4.410104603777602,4.592557047051522,-0.5734093670785435,-2.896814253126593,-1.0,-1.0,-1.0
-4.0040729481823245,4.220447464098909,-0.545013279088201,-2.725178103597659,-1.0,-1.0,-1.0
-3.553478417384234,3.7851472534876915,-0.5194343047642366,-2.570140446338998,-1.0,-1.0,-1.0
-3.120903911200557,3.355009891401547,-0.4966105824918461,-2.4311056194789025,-1.0,-1.0,-1.0
-2.7623817276668645,2.9939193320262145,-0.4764802506562253,-2.307477961145665,-1.0,-1.0,-1.0
-2.519751194291803,2.7517474846567183,-0.4589814476425699,-2.198661809467576,-1.0,-1.0,-1.0
-2.413016299311829,2.654811690804568,-0.4440523118360756,-2.104061502572929,-1.0,-1.0,-1.0
-2.432703322945948,2.6963322013049846,-0.43163098162193825,-2.023081378590016,-1.0,-1.0,-1.0
-2.532218468650433,2.826889653424117,-0.42165559538535347,-1.9551257756471287,-1.0,-1.0,-1.0
-2.6202054943735877,2.944882547966226,-0.41406429151151714,-1.8995990318725595,-1.0,-1.0,-1.0
-2.5529033438104345,2.8869847263809314,-0.40879520838562494,-1.855905485394601,-1.0,-1.0,-1.0
-2.126503777657495,2.4186028478704253,-0.4057864843928725,-1.8234494743415444,-1.0,-1.0,-1.0
-1.0695090048674891,1.2243338664966283,-0.40497625791845576,-1.8016353368416826,-1.0,-1.0,-1.0
-1.0,-1.0,-0.40630266734757037,-1.7898674110233073,-1.0,-1.0,-1.0
-1.0,-1.0,-0.4097038510654121,-1.7875500350147104,-1.0,-1.0,-1.0
-1.0,-1.0,-0.4151179474571766,-1.794087546944185,-1.0,-1.0,-1.0
-1.0,-1.0,-0.4224830949080597,-1.8088842849400224,-1.0,-1.0,-1.0
-1.0,-1.0,-0.43173743180325724,-1.8313445871305152,-1.0,-1.0,-1.0
-1.0,-1.0,-0.44281909652796475,-1.8608727916439551,-1.0,-1.0,-1.0
-1.0,-1.0,-0.4556662274673781,-1.8968732366086345,-1.0,-1.0,-1.0
-1.0,-1.0,-0.47021696300669297,-1.938750260152846,-1.0,-1.0,-1.0
-1.0,-1.0,-0.4864094415311052,-1.9859082004048807,-1.0,-1.0,-1.0
-1.0,-1.0,-0.5041818014258106,-2.0377513954930317,-1.0,-1.0,-1.0
-1.0,-1.0,-0.5234721810760046,-2.0936841835455913,-1.0,-1.0,-1.0
